categoria,subcategoria,pergunta,resposta,fonte,dados
classificacao_risco,faixa_etaria,Qual o risco para pacientes da faixa Adulto (23-59)?,"Faixa Adulto (23-59): Risco MÉDIO. Taxa de hospitalização: 2.56%. Taxa de óbito: 0.051%. Taxa de casos graves: 0.00%. Total de casos analisados: 6,196,354.",SINAN/DATASUS 2025,"{""faixa_etaria"": ""Adulto (23-59)"", ""n_casos"": 6196354, ""taxa_hospitalizacao"": 2.56, ""taxa_obito"": 0.051, ""taxa_casos_graves"": 0.0, ""nivel_risco"": ""M\u00c9DIO""}"
classificacao_risco,faixa_etaria,Qual o risco para pacientes da faixa Idoso (60+)?,"Faixa Idoso (60+): Risco ALTO. Taxa de hospitalização: 6.30%. Taxa de óbito: 0.408%. Taxa de casos graves: 0.00%. Total de casos analisados: 1,555,379.",SINAN/DATASUS 2025,"{""faixa_etaria"": ""Idoso (60+)"", ""n_casos"": 1555379, ""taxa_hospitalizacao"": 6.3, ""taxa_obito"": 0.408, ""taxa_casos_graves"": 0.0, ""nivel_risco"": ""ALTO""}"
classificacao_risco,faixa_etaria,Qual o risco para pacientes da faixa Lactente (0-2)?,"Faixa Lactente (0-2): Risco MÉDIO. Taxa de hospitalização: 6.69%. Taxa de óbito: 0.082%. Taxa de casos graves: 0.00%. Total de casos analisados: 154,038.",SINAN/DATASUS 2025,"{""faixa_etaria"": ""Lactente (0-2)"", ""n_casos"": 154038, ""taxa_hospitalizacao"": 6.69, ""taxa_obito"": 0.082, ""taxa_casos_graves"": 0.0, ""nivel_risco"": ""M\u00c9DIO""}"
classificacao_risco,faixa_etaria,Qual o risco para pacientes da faixa Jovem (15-22)?,"Faixa Jovem (15-22): Risco BAIXO. Taxa de hospitalização: 2.23%. Taxa de óbito: 0.021%. Taxa de casos graves: 0.00%. Total de casos analisados: 1,516,112.",SINAN/DATASUS 2025,"{""faixa_etaria"": ""Jovem (15-22)"", ""n_casos"": 1516112, ""taxa_hospitalizacao"": 2.23, ""taxa_obito"": 0.021, ""taxa_casos_graves"": 0.0, ""nivel_risco"": ""BAIXO""}"
classificacao_risco,faixa_etaria,Qual o risco para pacientes da faixa Criança (2-14)?,"Faixa Criança (2-14): Risco BAIXO. Taxa de hospitalização: 3.70%. Taxa de óbito: 0.018%. Taxa de casos graves: 0.00%. Total de casos analisados: 1,575,844.",SINAN/DATASUS 2025,"{""faixa_etaria"": ""Crian\u00e7a (2-14)"", ""n_casos"": 1575844, ""taxa_hospitalizacao"": 3.7, ""taxa_obito"": 0.018, ""taxa_casos_graves"": 0.0, ""nivel_risco"": ""BAIXO""}"
sinais_alarme,hipotensão postural,O que significa hipotensão postural como sinal de alarme?,HIPOTENSÃO POSTURAL: Queda da pressão ao levantar. Presente em 37.3% dos casos graves. Pacientes com este sinal têm taxa de óbito de 11.290%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""hipotens\u00e3o postural"", ""frequencia_casos_graves"": 37.3, ""frequencia_geral"": 0.3, ""taxa_obito_associada"": 11.29}"
sinais_alarme,queda de plaquetas,O que significa queda de plaquetas como sinal de alarme?,QUEDA DE PLAQUETAS: Trombocitopenia. Presente em 45.6% dos casos graves. Pacientes com este sinal têm taxa de óbito de 4.445%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""queda de plaquetas"", ""frequencia_casos_graves"": 45.6, ""frequencia_geral"": 1.0, ""taxa_obito_associada"": 4.445}"
sinais_alarme,vômitos persistentes,O que significa vômitos persistentes como sinal de alarme?,VÔMITOS PERSISTENTES: Vômitos que não cessam. Presente em 19.3% dos casos graves. Pacientes com este sinal têm taxa de óbito de 6.011%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""v\u00f4mitos persistentes"", ""frequencia_casos_graves"": 19.3, ""frequencia_geral"": 0.3, ""taxa_obito_associada"": 6.011}"
sinais_alarme,sangramento de mucosas,O que significa sangramento de mucosas como sinal de alarme?,"SANGRAMENTO DE MUCOSAS: Sangramento gengival, nasal ou outros. Presente em 20.8% dos casos graves. Pacientes com este sinal têm taxa de óbito de 4.500%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.",SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""sangramento de mucosas"", ""frequencia_casos_graves"": 20.8, ""frequencia_geral"": 0.4, ""taxa_obito_associada"": 4.5}"
sinais_alarme,aumento do hematócrito,O que significa aumento do hematócrito como sinal de alarme?,AUMENTO DO HEMATÓCRITO: Hemoconcentração. Presente em 9.4% dos casos graves. Pacientes com este sinal têm taxa de óbito de 8.119%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""aumento do hemat\u00f3crito"", ""frequencia_casos_graves"": 9.4, ""frequencia_geral"": 0.1, ""taxa_obito_associada"": 8.119}"
sinais_alarme,dor abdominal intensa,O que significa dor abdominal intensa como sinal de alarme?,DOR ABDOMINAL INTENSA: Dor abdominal contínua. Presente em 30.3% dos casos graves. Pacientes com este sinal têm taxa de óbito de 3.924%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""dor abdominal intensa"", ""frequencia_casos_graves"": 30.3, ""frequencia_geral"": 0.7, ""taxa_obito_associada"": 3.924}"
sinais_alarme,letargia,O que significa letargia como sinal de alarme?,LETARGIA: Sonolência excessiva ou irritabilidade. Presente em 24.5% dos casos graves. Pacientes com este sinal têm taxa de óbito de 11.666%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""letargia"", ""frequencia_casos_graves"": 24.5, ""frequencia_geral"": 0.2, ""taxa_obito_associada"": 11.666}"
sinais_alarme,hepatomegalia dolorosa,O que significa hepatomegalia dolorosa como sinal de alarme?,HEPATOMEGALIA DOLOROSA: Fígado aumentado e doloroso. Presente em 3.0% dos casos graves. Pacientes com este sinal têm taxa de óbito de 10.567%. Este é um sinal de alarme que requer ATENÇÃO IMEDIATA e reavaliação médica urgente.,SINAN/DATASUS 2025 + Protocolo MS,"{""sinal"": ""hepatomegalia dolorosa"", ""frequencia_casos_graves"": 3.0, ""frequencia_geral"": 0.0, ""taxa_obito_associada"": 10.567}"
